,Unnamed: 0,Date,Tournament,Team,OpponentTeam,W/L,Blue,Red,Side,Length,Champion,Vs,K,D,A,KDA,CS,Gold(thousand),Dmg,CSD,SpellD,SpellF,Items,Item1,Item2,Item3,Item4,Item5,Item6
189,15,2021-07-22,LCK 2021 Summer,T1,Afreeca Freecs,Win,T1,Afreeca Freecs,Blue,28:10,Ryze,Orianna,1,0,7,8.0,301,11.9,8.4,22,Teleport,Flash,"['Everfrost', 'Control Ward', 'Broken Stopwatch', ""Seraph's Embrace"", ""Mercury's Treads"", 'Needlessly Large Rod', 'Farsight Alteration']",Everfrost,Control Ward,Broken Stopwatch,Seraph's Embrace,Mercury's Treads,Needlessly Large Rod
190,16,2021-07-17,LCK 2021 Summer,T1,DWG KIA,Win,T1,DWG KIA,Blue,23:55,Azir,Lucian,1,1,2,3.0,219,9.5,10.5,3,Teleport,Flash,"['Fiendish Codex', 'Broken Stopwatch', 'EmptyIcon', 'Needlessly Large Rod', ""Luden's Tempest"", ""Sorcerer's Shoes"", 'Farsight Alteration']",Fiendish Codex,Broken Stopwatch,EmptyIcon,Needlessly Large Rod,Luden's Tempest,Sorcerer's Shoes
191,17,2021-07-17,LCK 2021 Summer,T1,DWG KIA,Win,T1,DWG KIA,Blue,47:29,Ryze,Lucian,2,0,8,10.0,352,17.3,18.0,2,Teleport,Flash,"['Everfrost', ""Zhonya's Hourglass"", 'Control Ward', 'Void Staff', 'Plated Steelcaps', ""Seraph's Embrace"", 'Farsight Alteration']",Everfrost,Zhonya's Hourglass,Control Ward,Void Staff,Plated Steelcaps,Seraph's Embrace
192,18,2021-07-17,LCK 2021 Summer,T1,DWG KIA,Loss,T1,DWG KIA,Blue,31:34,Ryze,Lucian,1,4,2,0.75,246,10.6,10.2,-80,Teleport,Flash,"['Everfrost', 'Oblivion Orb', 'Control Ward', ""Seraph's Embrace"", ""Sorcerer's Shoes"", 'Blighting Jewel', 'Stealth Ward']",Everfrost,Oblivion Orb,Control Ward,Seraph's Embrace,Sorcerer's Shoes,Blighting Jewel
193,19,2021-07-15,LCK 2021 Summer,T1,KT Rolster,Win,KT Rolster,T1,Red,26:09,Ryze,Lucian,0,2,8,4.0,250,11.0,7.2,3,Teleport,Flash,"['Everfrost', ""Zhonya's Hourglass"", 'Control Ward', 'Tear of the Goddess', 'Needlessly Large Rod', 'Ionian Boots of Lucidity', 'Farsight Alteration']",Everfrost,Zhonya's Hourglass,Control Ward,Tear of the Goddess,Needlessly Large Rod,Ionian Boots of Lucidity
194,20,2021-07-15,LCK 2021 Summer,T1,KT Rolster,Win,KT Rolster,T1,Red,24:57,Ryze,Renekton,3,1,5,8.0,254,11.5,7.6,55,Teleport,Flash,"['Everfrost', ""Zhonya's Hourglass"", 'Control Ward', ""Mercury's Treads"", 'Needlessly Large Rod', 'Tear of the Goddess', 'Oracle Lens']",Everfrost,Zhonya's Hourglass,Control Ward,Mercury's Treads,Needlessly Large Rod,Tear of the Goddess
195,21,2021-07-11,LCK 2021 Summer,T1,Nongshim RedForce,Loss,T1,Nongshim RedForce,Blue,29:20,Ryze,Akali,6,4,0,1.5,303,14.8,18.8,20,Teleport,Flash,"['Everfrost', ""Zhonya's Hourglass"", 'EmptyIcon', 'Ionian Boots of Lucidity', ""Seraph's Embrace"", 'Blasting Wand', 'Farsight Alteration']",Everfrost,Zhonya's Hourglass,EmptyIcon,Ionian Boots of Lucidity,Seraph's Embrace,Blasting Wand
196,22,2021-07-11,LCK 2021 Summer,T1,Nongshim RedForce,Loss,Nongshim RedForce,T1,Red,31:05,Ryze,Lucian,0,2,3,1.5,306,12.1,6.8,-11,Teleport,Flash,"['Everfrost', ""Zhonya's Hourglass"", 'Control Ward', 'Ionian Boots of Lucidity', ""Seraph's Embrace"", 'Amplifying Tome', 'Farsight Alteration']",Everfrost,Zhonya's Hourglass,Control Ward,Ionian Boots of Lucidity,Seraph's Embrace,Amplifying Tome
197,23,2021-07-09,LCK 2021 Summer,T1,Gen.G,Win,T1,Gen.G,Blue,28:45,Renekton,Akali,5,0,11,16.0,274,13.3,10.1,55,Teleport,Flash,"['Goredrinker', 'Guardian Angel', 'EmptyIcon', 'EmptyIcon', ""Mercury's Treads"", ""Sterak's Gage"", 'Oracle Lens']",Goredrinker,Guardian Angel,EmptyIcon,EmptyIcon,Mercury's Treads,Sterak's Gage
198,24,2021-07-09,LCK 2021 Summer,T1,Gen.G,Win,T1,Gen.G,Blue,32:08,Twisted Fate,LeBlanc,1,0,9,10.0,241,12.2,9.2,-24,Teleport,Flash,"['Everfrost', ""Zhonya's Hourglass"", 'Control Ward', ""Mercury's Treads"", 'Dark Seal', 'Rapid Firecannon', 'Farsight Alteration']",Everfrost,Zhonya's Hourglass,Control Ward,Mercury's Treads,Dark Seal,Rapid Firecannon
199,25,2021-07-03,LCK 2021 Summer,T1,Afreeca Freecs,Loss,T1,Afreeca Freecs,Blue,32:44,Karma,Renekton,0,2,0,0.0,215,9.4,9.0,-43,Teleport,Flash,"[""Shurelya's Battlesong"", ""Targon's Buckler"", 'Watchful Wardstone', ""Mercury's Treads"", ""Doran's Ring"", 'Staff of Flowing Water', 'Farsight Alteration']",Shurelya's Battlesong,Targon's Buckler,Watchful Wardstone,Mercury's Treads,Doran's Ring,Staff of Flowing Water
200,26,2021-07-03,LCK 2021 Summer,T1,Afreeca Freecs,Loss,Afreeca Freecs,T1,Red,40:53,Nocturne,Renekton,3,3,2,1.67,318,15.1,12.1,-16,Teleport,Flash,"['Stridebreaker', 'Bramble Vest', 'EmptyIcon', 'Plated Steelcaps', ""Sterak's Gage"", 'Guardian Angel', 'Stealth Ward']",Stridebreaker,Bramble Vest,EmptyIcon,Plated Steelcaps,Sterak's Gage,Guardian Angel
201,27,2021-07-03,LCK 2021 Summer,T1,Afreeca Freecs,Win,T1,Afreeca Freecs,Blue,44:34,Karma,Sett,0,2,11,5.5,216,13.7,13.1,-82,Teleport,Flash,"[""Shurelya's Battlesong"", 'Bulwark of the Mountain', 'Vigilant Wardstone', 'Staff of Flowing Water', 'Chemtech Putrifier', 'Ionian Boots of Lucidity', 'Farsight Alteration']",Shurelya's Battlesong,Bulwark of the Mountain,Vigilant Wardstone,Staff of Flowing Water,Chemtech Putrifier,Ionian Boots of Lucidity
202,28,2021-06-30,LCK 2021 Summer,T1,KT Rolster,Win,KT Rolster,T1,Red,30:59,Karma,Lucian,4,1,11,15.0,215,11.6,12.0,-39,Teleport,Flash,"[""Shurelya's Battlesong"", 'Redemption', 'Watchful Wardstone', 'Staff of Flowing Water', 'Relic Shield', 'Ionian Boots of Lucidity', 'Farsight Alteration']",Shurelya's Battlesong,Redemption,Watchful Wardstone,Staff of Flowing Water,Relic Shield,Ionian Boots of Lucidity
203,29,2021-06-30,LCK 2021 Summer,T1,KT Rolster,Loss,KT Rolster,T1,Red,35:18,Twisted Fate,Sett,2,3,3,1.67,252,12.6,9.0,-16,Teleport,Flash,"['Everfrost', ""Zhonya's Hourglass"", 'Rapid Firecannon', 'Aether Wisp', 'Dark Seal', 'Ionian Boots of Lucidity', 'Farsight Alteration']",Everfrost,Zhonya's Hourglass,Rapid Firecannon,Aether Wisp,Dark Seal,Ionian Boots of Lucidity
204,30,2021-06-30,LCK 2021 Summer,T1,KT Rolster,Win,T1,KT Rolster,Blue,34:32,Twisted Fate,Akali,3,2,4,3.5,292,14.9,11.4,-4,Teleport,Flash,"['Everfrost', ""Zhonya's Hourglass"", 'Control Ward', 'Lich Bane', 'Rapid Firecannon', ""Mercury's Treads"", 'Stealth Ward']",Everfrost,Zhonya's Hourglass,Control Ward,Lich Bane,Rapid Firecannon,Mercury's Treads
205,31,2021-06-27,LCK 2021 Summer,T1,DRX,Win,DRX,T1,Red,44:05,Nocturne,Renekton,4,2,5,4.5,445,20.1,16.6,32,Teleport,Flash,"['Stridebreaker', 'Guardian Angel', ""Wit's End"", 'Ionian Boots of Lucidity', 'Mortal Reminder', ""Sterak's Gage"", 'Farsight Alteration']",Stridebreaker,Guardian Angel,Wit's End,Ionian Boots of Lucidity,Mortal Reminder,Sterak's Gage
206,32,2021-06-27,LCK 2021 Summer,T1,DRX,Win,DRX,T1,Red,34:45,Nocturne,Renekton,3,2,6,4.5,309,15.1,10.2,5,Teleport,Flash,"['Stridebreaker', 'Guardian Angel', ""Executioner's Calling"", 'Ionian Boots of Lucidity', ""Sterak's Gage"", 'Kindlegem', 'Farsight Alteration']",Stridebreaker,Guardian Angel,Executioner's Calling,Ionian Boots of Lucidity,Sterak's Gage,Kindlegem
207,33,2021-06-24,LCK 2021 Summer,T1,Nongshim RedForce,Loss,T1,Nongshim RedForce,Blue,36:55,Renekton,Sett,1,3,3,1.33,317,13.3,15.2,12,Teleport,Flash,"['Goredrinker', 'Control Ward', 'Stopwatch', ""Death's Dance"", ""Sterak's Gage"", 'Plated Steelcaps', 'Oracle Lens']",Goredrinker,Control Ward,Stopwatch,Death's Dance,Sterak's Gage,Plated Steelcaps
208,34,2021-06-24,LCK 2021 Summer,T1,Nongshim RedForce,Loss,T1,Nongshim RedForce,Blue,70:16,Azir,Sylas,5,3,6,3.67,604,28.3,41.8,31,Teleport,Flash,"[""Zhonya's Hourglass"", ""Luden's Tempest"", ""Rabadon's Deathcap"", ""Banshee's Veil"", 'Void Staff', ""Sorcerer's Shoes"", 'Farsight Alteration']",Zhonya's Hourglass,Luden's Tempest,Rabadon's Deathcap,Banshee's Veil,Void Staff,Sorcerer's Shoes
209,35,2021-06-20,LCK 2021 Summer,T1,Liiv SANDBOX,Loss,T1,Liiv SANDBOX,Blue,23:43,Azir,Jayce,0,3,0,0.0,240,9.0,8.1,17,Teleport,Flash,"[""Zhonya's Hourglass"", 'Control Ward', ""Luden's Tempest"", ""Doran's Ring"", 'Amplifying Tome', ""Sorcerer's Shoes"", 'Farsight Alteration']",Zhonya's Hourglass,Control Ward,Luden's Tempest,Doran's Ring,Amplifying Tome,Sorcerer's Shoes
210,36,2021-06-20,LCK 2021 Summer,T1,Liiv SANDBOX,Loss,Liiv SANDBOX,T1,Red,39:30,Lulu,Sett,1,2,7,4.0,293,14.0,17.3,-11,Teleport,Flash,"[""Shurelya's Battlesong"", 'Forbidden Idol', 'Stopwatch', 'Cosmic Drive', ""Rabadon's Deathcap"", 'Ionian Boots of Lucidity', 'Oracle Lens']",Shurelya's Battlesong,Forbidden Idol,Stopwatch,Cosmic Drive,Rabadon's Deathcap,Ionian Boots of Lucidity
211,37,2021-06-17,LCK 2021 Summer,T1,Fredit BRION,Win,Fredit BRION,T1,Red,28:52,Twisted Fate,Nocturne,1,0,6,7.0,261,12.4,10.3,-13,Teleport,Flash,"['Everfrost', ""Zhonya's Hourglass"", 'Corrupting Potion', 'Aether Wisp', 'Rapid Firecannon', 'Plated Steelcaps', 'Stealth Ward']",Everfrost,Zhonya's Hourglass,Corrupting Potion,Aether Wisp,Rapid Firecannon,Plated Steelcaps
212,38,2021-06-17,LCK 2021 Summer,T1,Fredit BRION,Win,T1,Fredit BRION,Blue,40:07,Azir,Nocturne,2,1,8,10.0,399,17.1,18.2,34,Teleport,Flash,"[""Zhonya's Hourglass"", 'Stopwatch', 'Void Staff', ""Liandry's Anguish"", ""Sorcerer's Shoes"", ""Rabadon's Deathcap"", 'Farsight Alteration']",Zhonya's Hourglass,Stopwatch,Void Staff,Liandry's Anguish,Sorcerer's Shoes,Rabadon's Deathcap
213,39,2021-06-11,LCK 2021 Summer,T1,DWG KIA,Loss,DWG KIA,T1,Red,37:11,Jayce,Karma,2,3,3,1.67,299,13.0,21.2,70,Teleport,Flash,"['EmptyIcon', 'Eclipse (Item)', 'Muramana', ""Serpent's Fang"", ""Caulfield's Warhammer"", 'Ionian Boots of Lucidity', 'Farsight Alteration']",EmptyIcon,Eclipse (Item),Muramana,Serpent's Fang,Caulfield's Warhammer,Ionian Boots of Lucidity
214,40,2021-06-11,LCK 2021 Summer,T1,DWG KIA,Win,T1,DWG KIA,Blue,32:47,Lee Sin,Sylas,4,3,7,3.67,238,12.9,19.2,-11,Teleport,Flash,"['Goredrinker', 'EmptyIcon', 'Broken Stopwatch', 'Chempunk Chainsword', ""Sterak's Gage"", ""Mercury's Treads"", 'Stealth Ward']",Goredrinker,EmptyIcon,Broken Stopwatch,Chempunk Chainsword,Sterak's Gage,Mercury's Treads
215,41,2021-06-11,LCK 2021 Summer,T1,DWG KIA,Loss,DWG KIA,T1,Red,34:31,Akali,Lucian,3,3,3,2.0,294,13.7,15.4,-46,Teleport,Flash,"['Hextech Rocketbelt', ""Zhonya's Hourglass"", 'Needlessly Large Rod', 'Void Staff', 'Needlessly Large Rod', ""Sorcerer's Shoes"", 'Oracle Lens']",Hextech Rocketbelt,Zhonya's Hourglass,Needlessly Large Rod,Void Staff,Needlessly Large Rod,Sorcerer's Shoes
216,42,2021-06-09,LCK 2021 Summer,T1,Hanwha Life Esports,Win,Hanwha Life Esports,T1,Red,23:45,Lee Sin,Zoe,7,1,6,13.0,197,11.4,10.3,-28,Teleport,Flash,"['Goredrinker', 'Refillable Potion', 'EmptyIcon', ""Sterak's Gage"", ""Mercury's Treads"", 'B. F. Sword', 'Stealth Ward']",Goredrinker,Refillable Potion,EmptyIcon,Sterak's Gage,Mercury's Treads,B. F. Sword
217,43,2021-06-09,LCK 2021 Summer,T1,Hanwha Life Esports,Win,T1,Hanwha Life Esports,Blue,28:45,Nocturne,Volibear,4,2,6,5.0,221,11.2,8.3,-36,Teleport,Flash,"['Stridebreaker', 'Stopwatch', 'B. F. Sword', 'Ruby Crystal', 'Ionian Boots of Lucidity', ""Sterak's Gage"", 'Oracle Lens']",Stridebreaker,Stopwatch,B. F. Sword,Ruby Crystal,Ionian Boots of Lucidity,Sterak's Gage
218,0,2021-04-04,LCK 2021 Spring Playoffs,T1,Gen.G,Loss,T1,Gen.G,Blue,31:33,Zoe,Syndra,1,3,2,1.0,293,12.1,17.8,11,Teleport,Flash,"['Everfrost', 'Corrupting Potion', 'Control Ward', 'Void Staff', 'Ionian Boots of Lucidity', 'Horizon Focus', 'Farsight Alteration']",Everfrost,Corrupting Potion,Control Ward,Void Staff,Ionian Boots of Lucidity,Horizon Focus
219,1,2021-04-04,LCK 2021 Spring Playoffs,T1,Gen.G,Loss,Gen.G,T1,Red,32:09,Zoe,Syndra,0,1,1,1.0,273,10.4,10.5,5,Teleport,Flash,"['Everfrost', 'Control Ward', 'Blighting Jewel', 'Horizon Focus', 'Ionian Boots of Lucidity', 'Dark Seal', 'Farsight Alteration']",Everfrost,Control Ward,Blighting Jewel,Horizon Focus,Ionian Boots of Lucidity,Dark Seal
220,2,2021-04-04,LCK 2021 Spring Playoffs,T1,Gen.G,Loss,T1,Gen.G,Blue,38:17,Viktor,Orianna,0,2,0,0.0,346,13.6,18.3,-31,Teleport,Flash,"['Broken Stopwatch', 'Amplifying Tome', ""Liandry's Anguish"", ""Mercury's Treads"", 'Void Staff', ""Rabadon's Deathcap"", 'Farsight Alteration']",Broken Stopwatch,Amplifying Tome,Liandry's Anguish,Mercury's Treads,Void Staff,Rabadon's Deathcap
221,3,2021-04-01,LCK 2021 Spring Playoffs,T1,DRX,Win,DRX,T1,Red,27:48,Zoe,Orianna,6,1,2,8.0,218,12.3,15.0,-7,Teleport,Flash,"['Everfrost', 'Corrupting Potion', 'Needlessly Large Rod', 'Horizon Focus', 'Needlessly Large Rod', 'Ionian Boots of Lucidity', 'Oracle Lens']",Everfrost,Corrupting Potion,Needlessly Large Rod,Horizon Focus,Needlessly Large Rod,Ionian Boots of Lucidity
222,4,2021-04-01,LCK 2021 Spring Playoffs,T1,DRX,Win,T1,DRX,Blue,28:41,Twisted Fate,Orianna,5,1,3,8.0,215,12.3,12.3,-49,Teleport,Flash,"['Everfrost', 'Control Ward', ""Rabadon's Deathcap"", 'Dark Seal', 'Rapid Firecannon', 'Ionian Boots of Lucidity', 'Farsight Alteration']",Everfrost,Control Ward,Rabadon's Deathcap,Dark Seal,Rapid Firecannon,Ionian Boots of Lucidity
223,5,2021-04-01,LCK 2021 Spring Playoffs,T1,DRX,Loss,DRX,T1,Red,42:01,Sylas,Seraphine,3,5,2,1.0,351,16.0,10.2,89,Teleport,Flash,"['Everfrost', ""Zhonya's Hourglass"", 'Stopwatch', 'Ionian Boots of Lucidity', ""Rabadon's Deathcap"", 'Cosmic Drive', 'Farsight Alteration']",Everfrost,Zhonya's Hourglass,Stopwatch,Ionian Boots of Lucidity,Rabadon's Deathcap,Cosmic Drive
224,6,2021-04-01,LCK 2021 Spring Playoffs,T1,DRX,Win,T1,DRX,Blue,42:11,Viktor,Zoe,0,3,11,3.67,393,15.7,29.0,39,Teleport,Flash,"[""Zhonya's Hourglass"", 'EmptyIcon', ""Rabadon's Deathcap"", 'Lich Bane', ""Luden's Tempest"", 'Ionian Boots of Lucidity', 'Farsight Alteration']",Zhonya's Hourglass,EmptyIcon,Rabadon's Deathcap,Lich Bane,Luden's Tempest,Ionian Boots of Lucidity
225,0,2021-03-28,LCK 2021 Spring,T1,Hanwha Life Esports,Win,T1,Hanwha Life Esports,Blue,30:30,Viktor,Ryze,5,3,4,3.0,296,13.9,13.7,-5,Teleport,Flash,"['Corrupting Potion', 'EmptyIcon', ""Mercury's Treads"", ""Liandry's Anguish"", ""Rabadon's Deathcap"", 'Void Staff', 'Oracle Lens']",Corrupting Potion,EmptyIcon,Mercury's Treads,Liandry's Anguish,Rabadon's Deathcap,Void Staff
226,1,2021-03-28,LCK 2021 Spring,T1,Hanwha Life Esports,Win,Hanwha Life Esports,T1,Red,25:08,Seraphine,Orianna,9,0,9,18.0,201,10.9,8.6,-50,Teleport,Flash,"['Chemtech Putrifier', 'Moonstone Renewer', 'Perfectly Timed Stopwatch', 'Ionian Boots of Lucidity', 'Tear of the Goddess', ""Mejai's Soulstealer"", 'Stealth Ward']",Chemtech Putrifier,Moonstone Renewer,Perfectly Timed Stopwatch,Ionian Boots of Lucidity,Tear of the Goddess,Mejai's Soulstealer
227,2,2021-03-21,LCK 2021 Spring,T1,Afreeca Freecs,Win,T1,Afreeca Freecs,Blue,29:44,Seraphine,Zilean,0,1,14,14.0,208,9.5,9.3,-16,Teleport,Flash,"['Forbidden Idol', 'Moonstone Renewer', 'Broken Stopwatch', 'Staff of Flowing Water', 'Tear of the Goddess', 'Ionian Boots of Lucidity', 'Farsight Alteration']",Forbidden Idol,Moonstone Renewer,Broken Stopwatch,Staff of Flowing Water,Tear of the Goddess,Ionian Boots of Lucidity
228,3,2021-03-21,LCK 2021 Spring,T1,Afreeca Freecs,Loss,Afreeca Freecs,T1,Red,34:38,Zoe,Viktor,1,2,10,5.5,287,12.8,19.8,25,Teleport,Flash,"['Everfrost', ""Rabadon's Deathcap"", 'EmptyIcon', 'Void Staff', 'Dark Seal', 'Ionian Boots of Lucidity', 'Farsight Alteration']",Everfrost,Rabadon's Deathcap,EmptyIcon,Void Staff,Dark Seal,Ionian Boots of Lucidity
229,4,2021-03-21,LCK 2021 Spring,T1,Afreeca Freecs,Win,T1,Afreeca Freecs,Blue,34:31,Viktor,Twisted Fate,2,6,8,1.67,258,12.7,20.2,-25,Teleport,Flash,"['Corrupting Potion', ""Zhonya's Hourglass"", 'Needlessly Large Rod', ""Mercury's Treads"", ""Liandry's Anguish"", 'Void Staff', 'Farsight Alteration']",Corrupting Potion,Zhonya's Hourglass,Needlessly Large Rod,Mercury's Treads,Liandry's Anguish,Void Staff
230,5,2021-03-19,LCK 2021 Spring,T1,DRX,Win,DRX,T1,Red,26:32,Zoe,Syndra,5,1,8,13.0,228,12.2,14.2,19,Teleport,Flash,"['Everfrost', 'Tear of the Goddess', 'Broken Stopwatch', 'Horizon Focus', 'Void Staff', ""Mercury's Treads"", 'Stealth Ward']",Everfrost,Tear of the Goddess,Broken Stopwatch,Horizon Focus,Void Staff,Mercury's Treads
231,6,2021-03-19,LCK 2021 Spring,T1,DRX,Win,T1,DRX,Blue,39:17,Zoe,Viktor,7,0,6,13.0,298,15.6,27.9,6,Teleport,Flash,"[""Zhonya's Hourglass"", ""Banshee's Veil"", 'Void Staff', 'Ionian Boots of Lucidity', ""Mejai's Soulstealer"", ""Luden's Tempest"", 'Farsight Alteration']",Zhonya's Hourglass,Banshee's Veil,Void Staff,Ionian Boots of Lucidity,Mejai's Soulstealer,Luden's Tempest
232,7,2021-03-13,LCK 2021 Spring,T1,Gen.G,Win,T1,Gen.G,Blue,32:37,Seraphine,Azir,2,1,12,14.0,231,11.4,8.3,-51,Teleport,Flash,"['Chemtech Putrifier', 'Moonstone Renewer', 'Broken Stopwatch', 'Ionian Boots of Lucidity', 'Tear of the Goddess', 'Staff of Flowing Water', 'Farsight Alteration']",Chemtech Putrifier,Moonstone Renewer,Broken Stopwatch,Ionian Boots of Lucidity,Tear of the Goddess,Staff of Flowing Water
233,8,2021-03-13,LCK 2021 Spring,T1,Gen.G,Win,Gen.G,T1,Red,33:36,Seraphine,Azir,4,1,12,16.0,251,12.4,9.2,-47,Teleport,Flash,"['Redemption', 'Moonstone Renewer', 'Staff of Flowing Water', 'Chemtech Putrifier', 'Tear of the Goddess', 'Ionian Boots of Lucidity', 'Farsight Alteration']",Redemption,Moonstone Renewer,Staff of Flowing Water,Chemtech Putrifier,Tear of the Goddess,Ionian Boots of Lucidity
234,9,2021-02-19,LCK 2021 Spring,T1,DRX,Loss,DRX,T1,Red,29:59,Orianna,Seraphine,1,2,1,1.0,290,11.7,14.0,57,Teleport,Flash,"['Corrupting Potion', 'Oblivion Orb', ""Luden's Tempest"", ""Mercury's Treads"", ""Seraph's Embrace"", 'Needlessly Large Rod', 'Farsight Alteration']",Corrupting Potion,Oblivion Orb,Luden's Tempest,Mercury's Treads,Seraph's Embrace,Needlessly Large Rod
235,10,2021-02-19,LCK 2021 Spring,T1,DRX,Win,T1,DRX,Blue,32:29,Azir,Viktor,5,2,12,8.5,270,13.8,20.9,12,Teleport,Flash,"[""Zhonya's Hourglass"", 'Control Ward', ""Luden's Tempest"", ""Nashor's Tooth"", ""Doran's Ring"", ""Sorcerer's Shoes"", 'Farsight Alteration']",Zhonya's Hourglass,Control Ward,Luden's Tempest,Nashor's Tooth,Doran's Ring,Sorcerer's Shoes
236,11,2021-02-19,LCK 2021 Spring,T1,DRX,Loss,DRX,T1,Red,33:13,Orianna,Zoe,0,2,4,2.0,265,10.8,13.4,-16,Teleport,Flash,"[""Seraph's Embrace"", 'EmptyIcon', 'EmptyIcon', ""Liandry's Anguish"", 'Ionian Boots of Lucidity', ""Banshee's Veil"", 'Farsight Alteration']",Seraph's Embrace,EmptyIcon,EmptyIcon,Liandry's Anguish,Ionian Boots of Lucidity,Banshee's Veil
237,12,2021-02-06,LCK 2021 Spring,T1,Fredit BRION,Win,Fredit BRION,T1,Red,25:31,Orianna,Graves,4,0,6,10.0,248,12.4,12.5,62,Teleport,Flash,"['Stopwatch', ""Luden's Tempest"", ""Doran's Ring"", ""Seraph's Embrace"", ""Sorcerer's Shoes"", 'Morellonomicon', 'Farsight Alteration']",Stopwatch,Luden's Tempest,Doran's Ring,Seraph's Embrace,Sorcerer's Shoes,Morellonomicon
238,13,2021-02-06,LCK 2021 Spring,T1,Fredit BRION,Win,T1,Fredit BRION,Blue,24:29,Sett,Syndra,5,0,9,14.0,205,11.4,7.9,3,Teleport,Flash,"['Turbo Chemtank', 'EmptyIcon', ""Mercury's Treads"", ""Dead Man's Plate"", 'Winged Moonplate', 'Negatron Cloak', 'Oracle Lens']",Turbo Chemtank,EmptyIcon,Mercury's Treads,Dead Man's Plate,Winged Moonplate,Negatron Cloak
239,14,2021-02-03,LCK 2021 Spring,T1,Nongshim RedForce,Win,T1,Nongshim RedForce,Blue,30:40,Orianna,Syndra,2,0,6,8.0,268,13.2,11.8,33,Teleport,Flash,"['Control Ward', 'Amplifying Tome', ""Mercury's Treads"", ""Rabadon's Deathcap"", ""Luden's Tempest"", ""Seraph's Embrace"", 'Farsight Alteration']",Control Ward,Amplifying Tome,Mercury's Treads,Rabadon's Deathcap,Luden's Tempest,Seraph's Embrace
240,15,2021-02-03,LCK 2021 Spring,T1,Nongshim RedForce,Loss,Nongshim RedForce,T1,Red,35:49,Twisted Fate,Sett,1,5,2,0.6,221,11.5,21.0,21,Teleport,Flash,"['Hextech Rocketbelt', 'Control Ward', 'Lich Bane', 'Tear of the Goddess', 'Ionian Boots of Lucidity', 'Rapid Firecannon', 'Oracle Lens']",Hextech Rocketbelt,Control Ward,Lich Bane,Tear of the Goddess,Ionian Boots of Lucidity,Rapid Firecannon
241,16,2021-02-03,LCK 2021 Spring,T1,Nongshim RedForce,Win,T1,Nongshim RedForce,Blue,26:48,Azir,Viktor,4,0,6,10.0,255,11.7,16.1,29,Teleport,Flash,"[""Zhonya's Hourglass"", 'Control Ward', ""Sorcerer's Shoes"", ""Liandry's Anguish"", 'Void Staff', ""Doran's Ring"", 'Farsight Alteration']",Zhonya's Hourglass,Control Ward,Sorcerer's Shoes,Liandry's Anguish,Void Staff,Doran's Ring
242,17,2021-01-21,LCK 2021 Spring,T1,Gen.G,Loss,T1,Gen.G,Blue,33:58,Zoe,Syndra,2,2,5,3.5,267,11.5,18.0,-16,Teleport,Flash,"['Needlessly Large Rod', 'Needlessly Large Rod', 'Dark Seal', ""Mercury's Treads"", 'Horizon Focus', ""Luden's Tempest"", 'Farsight Alteration']",Needlessly Large Rod,Needlessly Large Rod,Dark Seal,Mercury's Treads,Horizon Focus,Luden's Tempest
243,18,2021-01-21,LCK 2021 Spring,T1,Gen.G,Loss,Gen.G,T1,Red,27:26,Azir,Syndra,2,3,1,1.0,250,10.6,12.6,1,Teleport,Flash,"[""Zhonya's Hourglass"", 'Blighting Jewel', 'Oblivion Orb', 'Dark Seal', 'Ionian Boots of Lucidity', ""Liandry's Anguish"", 'Stealth Ward']",Zhonya's Hourglass,Blighting Jewel,Oblivion Orb,Dark Seal,Ionian Boots of Lucidity,Liandry's Anguish
244,19,2021-01-21,LCK 2021 Spring,T1,Gen.G,Win,T1,Gen.G,Blue,37:25,Zoe,Syndra,1,1,6,7.0,286,13.1,12.7,19,Teleport,Flash,"[""Zhonya's Hourglass"", 'Needlessly Large Rod', 'Void Staff', ""Mercury's Treads"", 'Dark Seal', ""Luden's Tempest"", 'Farsight Alteration']",Zhonya's Hourglass,Needlessly Large Rod,Void Staff,Mercury's Treads,Dark Seal,Luden's Tempest
245,20,2021-01-15,LCK 2021 Spring,T1,DWG KIA,Loss,DWG KIA,T1,Red,41:03,Azir,Zoe,6,4,4,2.5,305,15.3,23.6,-83,Teleport,Flash,"[""Zhonya's Hourglass"", 'Needlessly Large Rod', ""Liandry's Anguish"", ""Nashor's Tooth"", 'Needlessly Large Rod', ""Sorcerer's Shoes"", 'Farsight Alteration']",Zhonya's Hourglass,Needlessly Large Rod,Liandry's Anguish,Nashor's Tooth,Needlessly Large Rod,Sorcerer's Shoes
246,21,2021-01-15,LCK 2021 Spring,T1,DWG KIA,Loss,T1,DWG KIA,Blue,33:22,Azir,Zoe,0,2,4,2.0,282,11.2,13.0,10,Teleport,Flash,"[""Zhonya's Hourglass"", ""Luden's Tempest"", ""Sorcerer's Shoes"", 'Dark Seal', 'EmptyIcon', ""Nashor's Tooth"", 'Farsight Alteration']",Zhonya's Hourglass,Luden's Tempest,Sorcerer's Shoes,Dark Seal,EmptyIcon,Nashor's Tooth
